date,basin,name,consecutive_count,type_of_depression,lat,lon,max_wind_kn,min_pressure_mBar
1949-06-17 12:00:00,EP,UNNAMED,25, TS,14.1,253.0,45.0,-999.0
1949-06-17 18:00:00,EP,UNNAMED,25, TS,14.6,252.3,45.0,-999.0
1949-06-18 00:00:00,EP,UNNAMED,25, TS,15.0,251.6,45.0,-999.0
1949-06-18 06:00:00,EP,UNNAMED,25, TS,15.4,250.8,45.0,-999.0
1949-06-18 12:00:00,EP,UNNAMED,25, TS,15.7,250.0,45.0,-999.0
1949-06-18 18:00:00,EP,UNNAMED,25, TS,16.0,249.2,45.0,-999.0
1949-06-19 00:00:00,EP,UNNAMED,25, TS,16.3,248.4,45.0,-999.0
1949-06-19 06:00:00,EP,UNNAMED,25, TS,16.7,247.7,45.0,-999.0
1949-06-19 12:00:00,EP,UNNAMED,25, TS,17.1,247.1,45.0,-999.0
1949-06-19 18:00:00,EP,UNNAMED,25, TS,17.5,246.5,45.0,-999.0
1949-06-20 00:00:00,EP,UNNAMED,25, TS,18.0,245.9,45.0,-999.0
1949-06-20 06:00:00,EP,UNNAMED,25, TS,18.4,245.4,45.0,-999.0
1949-06-20 12:00:00,EP,UNNAMED,25, TS,18.9,244.9,45.0,-999.0
1949-06-20 18:00:00,EP,UNNAMED,25, TS,19.4,244.4,45.0,-999.0
1949-06-21 00:00:00,EP,UNNAMED,25, TS,19.9,244.0,45.0,-999.0
1949-06-21 06:00:00,EP,UNNAMED,25, TS,20.4,243.6,45.0,-999.0
1949-06-21 12:00:00,EP,UNNAMED,25, TS,21.0,243.3,45.0,-999.0
1949-06-21 18:00:00,EP,UNNAMED,25, TS,21.5,242.9,45.0,-999.0
1949-06-22 00:00:00,EP,UNNAMED,25, TS,22.0,242.5,45.0,-999.0
1949-06-22 06:00:00,EP,UNNAMED,25, TS,22.5,242.2,45.0,-999.0
1949-06-22 12:00:00,EP,UNNAMED,25, TS,23.1,242.0,45.0,-999.0
1949-06-22 18:00:00,EP,UNNAMED,25, TS,23.9,242.0,45.0,-999.0
1949-06-23 00:00:00,EP,UNNAMED,25, TS,24.7,242.3,45.0,-999.0
1949-06-23 06:00:00,EP,UNNAMED,25, TS,25.4,242.6,45.0,-999.0
1949-06-23 12:00:00,EP,UNNAMED,25, TS,26.0,243.0,45.0,-999.0
1949-09-03 12:00:00,EP,UNNAMED,25, TS,17.3,253.7,45.0,-999.0
1949-09-03 18:00:00,EP,UNNAMED,25, TS,17.6,253.4,45.0,-999.0
1949-09-04 00:00:00,EP,UNNAMED,25, TS,17.9,253.2,45.0,-999.0
1949-09-04 06:00:00,EP,UNNAMED,25, TS,18.4,253.2,45.0,-999.0
1949-09-04 12:00:00,EP,UNNAMED,25, TS,18.8,253.1,45.0,-999.0
1949-09-04 18:00:00,EP,UNNAMED,25, TS,18.9,253.1,45.0,-999.0
1949-09-05 00:00:00,EP,UNNAMED,25, TS,19.0,253.0,45.0,-999.0
1949-09-05 06:00:00,EP,UNNAMED,25, TS,19.0,252.9,45.0,-999.0
1949-09-05 12:00:00,EP,UNNAMED,25, TS,19.1,252.8,45.0,-999.0
1949-09-05 18:00:00,EP,UNNAMED,25, TS,19.6,252.1,45.0,-999.0
1949-09-06 00:00:00,EP,UNNAMED,25, TS,20.2,251.2,45.0,-999.0
1949-09-06 06:00:00,EP,UNNAMED,25, TS,20.7,250.6,45.0,-999.0
1949-09-06 12:00:00,EP,UNNAMED,25, TS,21.2,250.0,45.0,-999.0
1949-09-06 18:00:00,EP,UNNAMED,25, TS,22.0,249.2,45.0,-999.0
1949-09-07 00:00:00,EP,UNNAMED,25, TS,22.9,248.3,45.0,-999.0
1949-09-07 06:00:00,EP,UNNAMED,25, TS,23.8,247.2,45.0,-999.0
1949-09-07 12:00:00,EP,UNNAMED,25, TS,24.8,246.2,45.0,-999.0
1949-09-07 18:00:00,EP,UNNAMED,25, TS,25.5,245.5,45.0,-999.0
1949-09-08 00:00:00,EP,UNNAMED,25, TS,26.2,244.8,45.0,-999.0
1949-09-08 06:00:00,EP,UNNAMED,25, TS,27.6,244.1,45.0,-999.0
1949-09-08 12:00:00,EP,UNNAMED,25, TS,28.6,243.6,45.0,-999.0
1949-09-08 18:00:00,EP,UNNAMED,25, TS,28.4,243.6,45.0,-999.0
1949-09-09 00:00:00,EP,UNNAMED,25, TS,28.2,243.6,45.0,-999.0
1949-09-09 06:00:00,EP,UNNAMED,25, TS,28.1,243.6,45.0,-999.0
1949-09-09 12:00:00,EP,UNNAMED,25, TS,28.0,243.5,45.0,-999.0
